Resource,Frequency,Percent of Wins,Percentile Rank,Rank
Philosopher's Stone,191,0.10546659304251794,0.33410138248847926,72.5
Calipers,191,0.10546659304251794,0.33410138248847926,72.5
Ice Cream,190,0.1049144119271121,0.34101382488479265,74.0
Bird Faced Urn,189,0.10436223081170624,0.347926267281106,75.5
Busted Crown,189,0.10436223081170624,0.347926267281106,75.5
Membership Card,188,0.10381004969630038,0.3548387096774194,77.0
Pocketwatch,186,0.10270568746548868,0.35944700460829493,78.0
Golden Idol,185,0.10215350635008283,0.3640552995391705,79.0
Turnip,183,0.10104914411927111,0.3709677419354839,80.5
Prayer Wheel,183,0.10104914411927111,0.3709677419354839,80.5
Nunchaku,180,0.09939260077305356,0.3778801843317972,82.0
The Specimen,177,0.097736057426836,0.3824884792626728,83.0
Du-Vu Doll,175,0.0966316951960243,0.3870967741935484,84.0
Fusion Hammer,171,0.09442297073440088,0.391705069124424,85.0
Snecko Eye,170,0.09387078961899503,0.39631336405529954,86.0
StoneCalendar,167,0.09221424627277747,0.4009216589861751,87.0
Old Coin,165,0.09110988404196577,0.41013824884792627,89.0
Dead Branch,165,0.09110988404196577,0.41013824884792627,89.0
Tingsha,165,0.09110988404196577,0.41013824884792627,89.0
Unceasing Top,163,0.09000552181115405,0.41935483870967744,91.0
Ginger,139,0.07675317504141359,0.42626728110599077,92.5
Peace Pipe,139,0.07675317504141359,0.42626728110599077,92.5
Girya,137,0.07564881281060187,0.43317972350230416,94.0
Medical Kit,135,0.07454445057979017,0.4377880184331797,95.0
Mark of the Bloom,126,0.06957482054113749,0.4447004608294931,96.5
Bottled Flame,126,0.06957482054113749,0.4447004608294931,96.5
WarpedTongs,124,0.06847045831032579,0.4539170506912442,98.5
WingedGreaves,124,0.06847045831032579,0.4539170506912442,98.5
Orrery,121,0.06681391496410823,0.4608294930875576,100.0
Odd Mushroom,116,0.06405300938707896,0.46543778801843316,101.0
Runic Dome,115,0.06350082827167311,0.4700460829493088,102.0
Shovel,112,0.06184428492545555,0.47465437788018433,103.0
DollysMirror,104,0.05742683600220872,0.4792626728110599,104.0
HoveringKite,96,0.0530093870789619,0.4838709677419355,105.0
OrangePellets,95,0.05245720596355605,0.48847926267281105,106.0
Tiny House,94,0.05190502484815019,0.4930875576036866,107.0
TwistedFunnel,93,0.05135284373274434,0.4976958525345622,108.0
Velvet Choker,92,0.05080066261733849,0.5023041474654378,109.0
ClockworkSouvenir,90,0.04969630038652678,0.5069124423963134,110.0
Eternal Feather,89,0.049144119271120924,0.511520737327189,111.0
MutagenicStrength,85,0.046935394809497516,0.5161290322580645,112.0
Ring of the Serpent,80,0.04417448923246825,0.5230414746543779,113.5
TheAbacus,80,0.04417448923246825,0.5230414746543779,113.5
White Beast Statue,78,0.04307012700165654,0.5299539170506913,115.0
Calling Bell,71,0.03920485919381557,0.5345622119815668,116.0
Enchiridion,67,0.03699613473219216,0.5391705069124424,117.0
Lizard Tail,64,0.0353395913859746,0.543778801843318,118.0
PrismaticShard,63,0.034787410270568746,0.5483870967741935,119.0
WristBlade,61,0.03368304803975704,0.5529953917050692,120.0
Chemical X,59,0.03257868580894534,0.5576036866359447,121.0
Lee's Waffle,50,0.027609055770292656,0.5622119815668203,122.0
Bloody Idol,46,0.025400331308669245,0.5668202764976958,123.0
Ectoplasm,45,0.02484815019326339,0.5714285714285714,124.0
Toy Ornithopter,43,0.023743787962451683,0.576036866359447,125.0
FaceOfCleric,41,0.02263942573163998,0.5829493087557603,126.5
Nilry's Codex,41,0.02263942573163998,0.5829493087557603,126.5
Nloth's Gift,38,0.020982882385422418,0.5921658986175116,128.5
SsserpentHead,38,0.020982882385422418,0.5921658986175116,128.5
Necronomicon,36,0.019878520154610713,0.5990783410138248,130.0
CultistMask,29,0.01601325234676974,0.6036866359447005,131.0
Frozen Eye,26,0.01435670900055218,0.6082949308755761,132.0
Strange Spoon,24,0.013252346769740474,0.6129032258064516,133.0
Sling,15,0.008282716731087797,0.619815668202765,134.5
HandDrill,15,0.008282716731087797,0.619815668202765,134.5
MealTicket,13,0.00717835450027609,0.6267281105990783,136.0
Cauldron,11,0.006073992269464384,0.631336405529954,137.0
CaptainsWheel,10,0.005521811154058531,0.6428571428571429,139.5
InkBottle,10,0.005521811154058531,0.6428571428571429,139.5
GremlinMask,10,0.005521811154058531,0.6428571428571429,139.5
Toolbox,10,0.005521811154058531,0.6428571428571429,139.5
CeramicFish,8,0.004417448923246825,0.6543778801843319,142.0
HornCleat,7,0.003865267807840972,0.6589861751152074,143.0
CloakClasp,6,0.0033130866924351186,0.6658986175115207,144.5
Akabeko,6,0.0033130866924351186,0.6658986175115207,144.5
TungstenRod,5,0.0027609055770292656,0.6774193548387096,147.0
Spirit Poop,5,0.0027609055770292656,0.6774193548387096,147.0
NlothsMask,5,0.0027609055770292656,0.6774193548387096,147.0
SacredBark,4,0.0022087244616234127,0.6866359447004609,149.0
Burning Blood,3,0.0016565433462175593,0.7004608294930875,152.0
Brimstone,3,0.0016565433462175593,0.7004608294930875,152.0
SlaversCollar,3,0.0016565433462175593,0.7004608294930875,152.0
StrikeDummy,3,0.0016565433462175593,0.7004608294930875,152.0
Red Skull,3,0.0016565433462175593,0.7004608294930875,152.0
Alchemist,2,0.0011043622308117063,0.7626728110599078,165.5
DataDisk,2,0.0011043622308117063,0.7626728110599078,165.5
Cracked Core,2,0.0011043622308117063,0.7626728110599078,165.5
Circlet,2,0.0011043622308117063,0.7626728110599078,165.5
Champion Belt,2,0.0011043622308117063,0.7626728110599078,165.5
Charon's Ashes,2,0.0011043622308117063,0.7626728110599078,165.5
Cables,2,0.0011043622308117063,0.7626728110599078,165.5
Symbiotic Virus,2,0.0011043622308117063,0.7626728110599078,165.5
Emotion Chip,2,0.0011043622308117063,0.7626728110599078,165.5
IndustrialRevolution,2,0.0011043622308117063,0.7626728110599078,165.5
Magic Flower,2,0.0011043622308117063,0.7626728110599078,165.5
Self Forming Clay,2,0.0011043622308117063,0.7626728110599078,165.5
Mark of Pain,2,0.0011043622308117063,0.7626728110599078,165.5
Runic Cube,2,0.0011043622308117063,0.7626728110599078,165.5
Runic Capacitor,2,0.0011043622308117063,0.7626728110599078,165.5
Basket Of Snakes,2,0.0011043622308117063,0.7626728110599078,165.5
Nuclear Battery,2,0.0011043622308117063,0.7626728110599078,165.5
OneHitWonder,2,0.0011043622308117063,0.7626728110599078,165.5
Paper Frog,2,0.0011043622308117063,0.7626728110599078,165.5
Simple Rune,2,0.0011043622308117063,0.7626728110599078,165.5
InfectionSource,2,0.0011043622308117063,0.7626728110599078,165.5
Inserter,2,0.0011043622308117063,0.7626728110599078,165.5
HarvestTotem,1,0.0005521811154058532,0.9078341013824884,197.0
RetroEgg,1,0.0005521811154058532,0.9078341013824884,197.0
Ring of Chaos,1,0.0005521811154058532,0.9078341013824884,197.0
NegativeEmotionEnhancer,1,0.0005521811154058532,0.9078341013824884,197.0
DragonStarHat,1,0.0005521811154058532,0.9078341013824884,197.0
ChewingGum,1,0.0005521811154058532,0.9078341013824884,197.0
MoneyPower,1,0.0005521811154058532,0.9078341013824884,197.0
Electric Blood,1,0.0005521811154058532,0.9078341013824884,197.0
EqualTreatment,1,0.0005521811154058532,0.9078341013824884,197.0
Mirror,1,0.0005521811154058532,0.9078341013824884,197.0
DeathBook,1,0.0005521811154058532,0.9078341013824884,197.0
Winged Necklace,1,0.0005521811154058532,0.9078341013824884,197.0
Snack Pack,1,0.0005521811154058532,0.9078341013824884,197.0
HushsDoor,1,0.0005521811154058532,0.9078341013824884,197.0
Counterbalance,1,0.0005521811154058532,0.9078341013824884,197.0
CrystalShield,1,0.0005521811154058532,0.9078341013824884,197.0
NoteOfAlchemist,1,0.0005521811154058532,0.9078341013824884,197.0
Rawhide,1,0.0005521811154058532,0.9078341013824884,197.0
Register,1,0.0005521811154058532,0.9078341013824884,197.0
ReplayFunnel,1,0.0005521811154058532,0.9078341013824884,197.0
Iron Hammer,1,0.0005521811154058532,0.9078341013824884,197.0
MerchantsRug,1,0.0005521811154058532,0.9078341013824884,197.0
Guide Book,1,0.0005521811154058532,0.9078341013824884,197.0
GuppysPaw,1,0.0005521811154058532,0.9078341013824884,197.0
GuppysHead,1,0.0005521811154058532,0.9078341013824884,197.0
Bandana,1,0.0005521811154058532,0.9078341013824884,197.0
BalancedPeriapt,1,0.0005521811154058532,0.9078341013824884,197.0
AscensionHeart,1,0.0005521811154058532,0.9078341013824884,197.0
Baseball,1,0.0005521811154058532,0.9078341013824884,197.0
AssaultLearning,1,0.0005521811154058532,0.9078341013824884,197.0
SatanicBible,1,0.0005521811154058532,0.9078341013824884,197.0
Temperance,1,0.0005521811154058532,0.9078341013824884,197.0
GuppysTail,1,0.0005521811154058532,0.9078341013824884,197.0
Chameleon Ring,1,0.0005521811154058532,0.9078341013824884,197.0
ChampionBelt,1,0.0005521811154058532,0.9078341013824884,197.0
Arrowhead,1,0.0005521811154058532,0.9078341013824884,197.0
Byrd Skull,1,0.0005521811154058532,0.9078341013824884,197.0
BouquetWithThorns,1,0.0005521811154058532,0.9078341013824884,197.0
SteamSale,1,0.0005521811154058532,0.9078341013824884,197.0
Leech,1,0.0005521811154058532,0.9078341013824884,197.0
TheBible,1,0.0005521811154058532,0.9078341013824884,197.0
