Resource,Frequency,Percent of Wins,Percentile Rank,Rank,Resource Type
Art of War,338,0.19696969696969696,0.1662921348314607,74.0,relic
Boot,336,0.1958041958041958,0.16853932584269662,75.0,relic
Havoc,332,0.19347319347319347,0.1707865168539326,76.0,card
Sundial,330,0.19230769230769232,0.17303370786516853,77.0,relic
Juzu Bracelet,327,0.19055944055944055,0.1752808988764045,78.0,relic
Smiling Mask,325,0.1893939393939394,0.17752808988764046,79.0,relic
Anger,321,0.18706293706293706,0.1797752808988764,80.0,card
Sentinel,320,0.1864801864801865,0.18314606741573033,81.5,card
Kunai,320,0.1864801864801865,0.18314606741573033,81.5,relic
MawBank,319,0.1858974358974359,0.18651685393258427,83.0,relic
Pear,316,0.18414918414918416,0.18876404494382024,84.0,relic
Dual Wield,314,0.18298368298368298,0.19101123595505617,85.0,card
Meat on the Bone,311,0.18123543123543123,0.19325842696629214,86.0,relic
Letter Opener,309,0.18006993006993008,0.19550561797752808,87.0,relic
Dream Catcher,303,0.17657342657342656,0.19775280898876405,88.0,relic
Singing Bowl,299,0.17424242424242425,0.2,89.0,relic
Cursed Key,298,0.17365967365967366,0.20224719101123595,90.0,relic
Juggernaut,295,0.17191142191142192,0.20449438202247192,91.0,card
Molten Egg 2,293,0.17074592074592074,0.20674157303370785,92.0,relic
Ornamental Fan,292,0.17016317016317017,0.20898876404494382,93.0,relic
Shuriken,287,0.16724941724941725,0.21123595505617979,94.0,relic
Regal Pillow,285,0.1660839160839161,0.21348314606741572,95.0,relic
Bottled Tornado,280,0.16317016317016317,0.2157303370786517,96.0,relic
Runic Pyramid,279,0.16258741258741258,0.21797752808988763,97.0,relic
Frozen Egg 2,274,0.15967365967365968,0.2202247191011236,98.0,relic
Pummel,270,0.15734265734265734,0.22247191011235956,99.0,card
Carnage,269,0.15675990675990675,0.2247191011235955,100.0,card
Question Card,268,0.1561771561771562,0.22696629213483147,101.0,relic
Blue Candle,256,0.14918414918414918,0.2292134831460674,102.0,relic
Dodecahedron,254,0.14801864801864803,0.23146067415730337,103.0,relic
Iron Wave,247,0.14393939393939395,0.2348314606741573,104.5,card
Double Tap,247,0.14393939393939395,0.2348314606741573,104.5,card
Gambling Chip,246,0.14335664335664336,0.23820224719101124,106.0,relic
Tiny Chest,243,0.14160839160839161,0.24044943820224718,107.0,relic
Matryoshka,242,0.14102564102564102,0.24269662921348314,108.0,relic
Fusion Hammer,240,0.13986013986013987,0.24606741573033708,109.5,relic
Twin Strike,240,0.13986013986013987,0.24606741573033708,109.5,card
Incense Burner,239,0.13927738927738928,0.24943820224719102,111.0,relic
Coffee Dripper,234,0.13636363636363635,0.251685393258427,112.0,relic
Bottled Lightning,232,0.1351981351981352,0.2539325842696629,113.0,relic
The Courier,230,0.13403263403263405,0.25617977528089886,114.0,relic
Pocketwatch,228,0.13286713286713286,0.25842696629213485,115.0,relic
Bird Faced Urn,209,0.12179487179487179,0.2606741573033708,116.0,relic
Thread and Needle,208,0.12121212121212122,0.26292134831460673,117.0,relic
Cleave,206,0.12004662004662005,0.2651685393258427,118.0,card
Sozu,205,0.11946386946386946,0.26741573033707866,119.0,relic
Du-Vu Doll,203,0.1182983682983683,0.2696629213483146,120.0,relic
Champion Belt,200,0.11655011655011654,0.27191011235955054,121.0,relic
Darkstone Periapt,199,0.11596736596736597,0.27415730337078653,122.0,relic
FossilizedHelix,198,0.11538461538461539,0.27640449438202247,123.0,relic
Thunderclap,197,0.1148018648018648,0.2786516853932584,124.0,card
Astrolabe,196,0.11421911421911422,0.2808988764044944,125.0,relic
Rage,195,0.11363636363636363,0.28314606741573034,126.0,card
Mango,194,0.11305361305361306,0.2853932584269663,127.0,relic
Mark of Pain,193,0.11247086247086246,0.2876404494382023,128.0,relic
Unceasing Top,190,0.11072261072261072,0.2898876404494382,129.0,relic
Flex,189,0.11013986013986014,0.29213483146067415,130.0,card
Nunchaku,188,0.10955710955710955,0.2943820224719101,131.0,relic
Ice Cream,186,0.10839160839160839,0.2966292134831461,132.0,relic
Charon's Ashes,185,0.10780885780885781,0.298876404494382,133.0,relic
Turnip,184,0.10722610722610723,0.30112359550561796,134.0,relic
Torii,183,0.10664335664335664,0.30337078651685395,135.0,relic
Magic Flower,181,0.10547785547785547,0.3056179775280899,136.0,relic
Pandora's Box,179,0.10431235431235432,0.30786516853932583,137.0,relic
StoneCalendar,178,0.10372960372960373,0.3101123595505618,138.0,relic
Rampage,176,0.10256410256410256,0.31235955056179776,139.0,card
Apotheosis,172,0.10023310023310024,0.3146067415730337,140.0,card
Philosopher's Stone,170,0.09906759906759907,0.31685393258426964,141.0,relic
Calipers,165,0.09615384615384616,0.31910112359550563,142.0,relic
Old Coin,164,0.09557109557109557,0.3235955056179775,144.0,relic
Intimidate,164,0.09557109557109557,0.3235955056179775,144.0,card
Bludgeon,164,0.09557109557109557,0.3235955056179775,144.0,card
Golden Idol,162,0.0944055944055944,0.32808988764044944,146.0,relic
Ghostly,161,0.09382284382284382,0.3303370786516854,147.0,card
Prayer Wheel,158,0.09207459207459208,0.3325842696629214,148.0,relic
Bottled Flame,157,0.09149184149184149,0.3348314606741573,149.0,relic
Dropkick,156,0.09090909090909091,0.3382022471910112,150.5,card
Ginger,156,0.09090909090909091,0.3382022471910112,150.5,relic
Peace Pipe,152,0.08857808857808858,0.3415730337078652,152.0,relic
Medical Kit,148,0.08624708624708624,0.3438202247191011,153.0,relic
Runic Dome,144,0.08391608391608392,0.3471910112359551,154.5,relic
Girya,144,0.08391608391608392,0.3471910112359551,154.5,relic
Membership Card,141,0.08216783216783216,0.350561797752809,156.0,relic
Velvet Choker,139,0.08100233100233101,0.35280898876404493,157.0,relic
Empty Cage,136,0.07925407925407925,0.3550561797752809,158.0,relic
Bloodletting,134,0.0780885780885781,0.35730337078651686,159.0,card
Dark Shackles,129,0.07517482517482517,0.36067415730337077,160.5,card
Busted Crown,129,0.07517482517482517,0.36067415730337077,160.5,relic
WarpedTongs,127,0.07400932400932402,0.36629213483146067,163.0,relic
Odd Mushroom,127,0.07400932400932402,0.36629213483146067,163.0,relic
Shovel,127,0.07400932400932402,0.36629213483146067,163.0,relic
Infernal Blade,126,0.07342657342657342,0.3707865168539326,165.0,card
Wild Strike,125,0.07284382284382285,0.3741573033707865,166.5,card
Master of Strategy,125,0.07284382284382285,0.3741573033707865,166.5,card
WingedGreaves,124,0.07226107226107226,0.3775280898876405,168.0,relic
Orrery,117,0.06818181818181818,0.3808988764044944,169.5,relic
Black Star,117,0.06818181818181818,0.3808988764044944,169.5,relic
Combust,114,0.06643356643356643,0.3842696629213483,171.0,card
Madness,113,0.06585081585081586,0.3865168539325843,172.0,card
Reckless Charge,105,0.06118881118881119,0.3887640449438202,173.0,card
ClockworkSouvenir,97,0.05652680652680653,0.39101123595505616,174.0,relic
Necronomicon,95,0.05536130536130536,0.39325842696629215,175.0,relic
Discovery,94,0.054778554778554776,0.39662921348314606,176.5,card
Perfected Strike,94,0.054778554778554776,0.39662921348314606,176.5,card
DollysMirror,91,0.05303030303030303,0.4,178.0,relic
Rupture,87,0.050699300699300696,0.40224719101123596,179.0,card
OrangePellets,86,0.05011655011655012,0.4044943820224719,180.0,relic
Brutality,84,0.04895104895104895,0.4067415730337079,181.0,card
Flash of Steel,83,0.04836829836829837,0.40898876404494383,182.0,card
Necronomicurse,82,0.047785547785547784,0.41123595505617977,183.0,card
Finesse,81,0.0472027972027972,0.41460674157303373,184.5,card
MutagenicStrength,81,0.0472027972027972,0.41460674157303373,184.5,relic
Blood for Blood,80,0.046620046620046623,0.4202247191011236,187.0,card
Parasite,80,0.046620046620046623,0.4202247191011236,187.0,card
Panacea,80,0.046620046620046623,0.4202247191011236,187.0,card
Nilry's Codex,77,0.04487179487179487,0.4247191011235955,189.0,relic
Fire Breathing,76,0.04428904428904429,0.42696629213483145,190.0,card
Hemokinesis,73,0.042540792540792544,0.4303370786516854,191.5,card
Berserk,73,0.042540792540792544,0.4303370786516854,191.5,card
Enchiridion,66,0.038461538461538464,0.4337078651685393,193.0,relic
Bite,65,0.03787878787878788,0.43595505617977526,194.0,card
Writhe,64,0.037296037296037296,0.43820224719101125,195.0,card
Sever Soul,63,0.03671328671328671,0.4404494382022472,196.0,card
Purity,62,0.03613053613053613,0.4438202247191011,197.5,card
Runic Cube,62,0.03613053613053613,0.4438202247191011,197.5,relic
RitualDagger,61,0.035547785547785545,0.44719101123595506,199.0,card
Deep Breath,58,0.0337995337995338,0.449438202247191,200.0,card
TheAbacus,57,0.033216783216783216,0.45280898876404496,201.5,relic
PanicButton,57,0.033216783216783216,0.45280898876404496,201.5,card
Impatience,56,0.03263403263403263,0.45617977528089887,203.0,card
Lizard Tail,55,0.03205128205128205,0.4584269662921348,204.0,relic
Tiny House,54,0.03146853146853147,0.46179775280898877,205.5,relic
Ectoplasm,54,0.03146853146853147,0.46179775280898877,205.5,relic
Calling Bell,51,0.02972027972027972,0.4651685393258427,207.0,relic
Clumsy,45,0.026223776223776224,0.46853932584269664,208.5,card
Brimstone,45,0.026223776223776224,0.46853932584269664,208.5,relic
Blind,43,0.02505827505827506,0.4730337078651685,210.5,card
Pain,43,0.02505827505827506,0.4730337078651685,210.5,card
White Beast Statue,42,0.024475524475524476,0.47752808988764045,212.5,relic
Chemical X,42,0.024475524475524476,0.47752808988764045,212.5,relic
Strange Spoon,40,0.023310023310023312,0.48089887640449436,214.0,relic
Secret Technique,39,0.022727272727272728,0.48314606741573035,215.0,card
Eternal Feather,38,0.022144522144522144,0.4853932584269663,216.0,relic
Black Blood,37,0.02156177156177156,0.4910112359550562,218.5,relic
Nloth's Gift,37,0.02156177156177156,0.4910112359550562,218.5,relic
PrismaticShard,37,0.02156177156177156,0.4910112359550562,218.5,relic
Lee's Waffle,37,0.02156177156177156,0.4910112359550562,218.5,relic
Clash,36,0.02097902097902098,0.49775280898876406,221.5,card
Decay,36,0.02097902097902098,0.49775280898876406,221.5,card
Regret,34,0.019813519813519812,0.501123595505618,223.0,card
Mayhem,33,0.019230769230769232,0.5044943820224719,224.5,card
Enlightenment,33,0.019230769230769232,0.5044943820224719,224.5,card
Bloody Idol,32,0.018648018648018648,0.5089887640449439,226.5,relic
Trip,32,0.018648018648018648,0.5089887640449439,226.5,card
Toy Ornithopter,31,0.018065268065268064,0.5134831460674157,228.5,relic
Doubt,31,0.018065268065268064,0.5134831460674157,228.5,card
Bandage Up,30,0.017482517482517484,0.5168539325842697,230.0,card
Normality,29,0.0168997668997669,0.5191011235955056,231.0,card
J.A.X.,28,0.016317016317016316,0.5213483146067416,232.0,card
SsserpentHead,27,0.015734265734265736,0.5235955056179775,233.0,relic
Panache,26,0.015151515151515152,0.5269662921348315,234.5,card
Violence,26,0.015151515151515152,0.5269662921348315,234.5,card
Chrysalis,25,0.014568764568764568,0.5348314606741573,238.0,card
FaceOfCleric,25,0.014568764568764568,0.5348314606741573,238.0,relic
Thinking Ahead,25,0.014568764568764568,0.5348314606741573,238.0,card
Sling,25,0.014568764568764568,0.5348314606741573,238.0,relic
The Bomb,25,0.014568764568764568,0.5348314606741573,238.0,card
HornCleat,24,0.013986013986013986,0.5426966292134832,241.5,relic
MealTicket,24,0.013986013986013986,0.5426966292134832,241.5,relic
Mark of the Bloom,21,0.012237762237762238,0.547191011235955,243.5,relic
InkBottle,21,0.012237762237762238,0.547191011235955,243.5,relic
Jack Of All Trades,20,0.011655011655011656,0.5516853932584269,245.5,card
Magnetism,20,0.011655011655011656,0.5516853932584269,245.5,card
Injury,18,0.01048951048951049,0.5561797752808989,247.5,card
Shame,18,0.01048951048951049,0.5561797752808989,247.5,card
Spirit Poop,17,0.009906759906759906,0.5606741573033708,249.5,relic
CultistMask,17,0.009906759906759906,0.5606741573033708,249.5,relic
NlothsMask,16,0.009324009324009324,0.5640449438202247,251.0,relic
HandOfGreed,15,0.008741258741258742,0.5674157303370787,252.5,card
Dramatic Entrance,15,0.008741258741258742,0.5674157303370787,252.5,card
Frozen Eye,14,0.008158508158508158,0.5719101123595506,254.5,relic
HandDrill,14,0.008158508158508158,0.5719101123595506,254.5,relic
Searing Blow,13,0.007575757575757576,0.5764044943820225,256.5,card
Good Instincts,13,0.007575757575757576,0.5764044943820225,256.5,card
Mind Blast,11,0.00641025641025641,0.5820224719101124,259.0,card
CurseOfTheBell,11,0.00641025641025641,0.5820224719101124,259.0,card
Secret Weapon,11,0.00641025641025641,0.5820224719101124,259.0,card
Transmutation,10,0.005827505827505828,0.5887640449438202,262.0,card
Backflip,10,0.005827505827505828,0.5887640449438202,262.0,card
TungstenRod,10,0.005827505827505828,0.5887640449438202,262.0,relic
Cauldron,9,0.005244755244755245,0.5932584269662922,264.0,relic
Toolbox,8,0.004662004662004662,0.5988764044943821,266.5,relic
Akabeko,8,0.004662004662004662,0.5988764044943821,266.5,relic
Hologram,8,0.004662004662004662,0.5988764044943821,266.5,card
Forethought,8,0.004662004662004662,0.5988764044943821,266.5,card
SlaversCollar,7,0.004079254079254079,0.6101123595505618,271.5,relic
CaptainsWheel,7,0.004079254079254079,0.6101123595505618,271.5,relic
Blade Dance,7,0.004079254079254079,0.6101123595505618,271.5,card
White Noise,7,0.004079254079254079,0.6101123595505618,271.5,card
Swift Strike,7,0.004079254079254079,0.6101123595505618,271.5,card
Creative AI,7,0.004079254079254079,0.6101123595505618,271.5,card
PiercingWail,6,0.0034965034965034965,0.6337078651685393,282.0,card
Night Terror,6,0.0034965034965034965,0.6337078651685393,282.0,card
CloakClasp,6,0.0034965034965034965,0.6337078651685393,282.0,relic
Turbo,6,0.0034965034965034965,0.6337078651685393,282.0,card
CeramicFish,6,0.0034965034965034965,0.6337078651685393,282.0,relic
Infinite Blades,6,0.0034965034965034965,0.6337078651685393,282.0,card
Wraith Form v2,6,0.0034965034965034965,0.6337078651685393,282.0,card
Cloak And Dagger,6,0.0034965034965034965,0.6337078651685393,282.0,card
Endless Agony,6,0.0034965034965034965,0.6337078651685393,282.0,card
Echo Form,6,0.0034965034965034965,0.6337078651685393,282.0,card
Adrenaline,6,0.0034965034965034965,0.6337078651685393,282.0,card
Force Field,6,0.0034965034965034965,0.6337078651685393,282.0,card
Double Energy,6,0.0034965034965034965,0.6337078651685393,282.0,card
Acrobatics,6,0.0034965034965034965,0.6337078651685393,282.0,card
Backstab,6,0.0034965034965034965,0.6337078651685393,282.0,card
Footwork,5,0.002913752913752914,0.6617977528089888,294.5,card
Skim,5,0.002913752913752914,0.6617977528089888,294.5,card
Blur,5,0.002913752913752914,0.6617977528089888,294.5,card
Dash,5,0.002913752913752914,0.6617977528089888,294.5,card
GremlinMask,5,0.002913752913752914,0.6617977528089888,294.5,relic
Seek,5,0.002913752913752914,0.6617977528089888,294.5,card
Malaise,5,0.002913752913752914,0.6617977528089888,294.5,card
StrikeDummy,5,0.002913752913752914,0.6617977528089888,294.5,relic
Conserve Battery,5,0.002913752913752914,0.6617977528089888,294.5,card
Recycle,5,0.002913752913752914,0.6617977528089888,294.5,card
Sadistic Nature,4,0.002331002331002331,0.6842696629213483,304.5,card
Outmaneuver,4,0.002331002331002331,0.6842696629213483,304.5,card
Stack,4,0.002331002331002331,0.6842696629213483,304.5,card
Prepared,4,0.002331002331002331,0.6842696629213483,304.5,card
Accuracy,4,0.002331002331002331,0.6842696629213483,304.5,card
Noxious Fumes,4,0.002331002331002331,0.6842696629213483,304.5,card
Concentrate,4,0.002331002331002331,0.6842696629213483,304.5,card
Corpse Explosion,4,0.002331002331002331,0.6842696629213483,304.5,card
Terror,4,0.002331002331002331,0.6842696629213483,304.5,card
Grand Finale,4,0.002331002331002331,0.6842696629213483,304.5,card
Venomology,3,0.0017482517482517483,0.7179775280898877,319.5,card
Distraction,3,0.0017482517482517483,0.7179775280898877,319.5,card
Meteor Strike,3,0.0017482517482517483,0.7179775280898877,319.5,card
Streamline,3,0.0017482517482517483,0.7179775280898877,319.5,card
SacredBark,3,0.0017482517482517483,0.7179775280898877,319.5,relic
Metamorphosis,3,0.0017482517482517483,0.7179775280898877,319.5,card
FTL,3,0.0017482517482517483,0.7179775280898877,319.5,card
After Image,3,0.0017482517482517483,0.7179775280898877,319.5,card
Masterful Stab,3,0.0017482517482517483,0.7179775280898877,319.5,card
Tools of the Trade,3,0.0017482517482517483,0.7179775280898877,319.5,card
Escape Plan,3,0.0017482517482517483,0.7179775280898877,319.5,card
Deflect,3,0.0017482517482517483,0.7179775280898877,319.5,card
Self Repair,3,0.0017482517482517483,0.7179775280898877,319.5,card
Chill,3,0.0017482517482517483,0.7179775280898877,319.5,card
Genetic Algorithm,3,0.0017482517482517483,0.7179775280898877,319.5,card
Cold Snap,3,0.0017482517482517483,0.7179775280898877,319.5,card
Well Laid Plans,3,0.0017482517482517483,0.7179775280898877,319.5,card
Reinforced Body,3,0.0017482517482517483,0.7179775280898877,319.5,card
Burst,3,0.0017482517482517483,0.7179775280898877,319.5,card
Calculated Gamble,3,0.0017482517482517483,0.7179775280898877,319.5,card
Circlet,2,0.0011655011655011655,0.7853932584269663,349.5,relic
A Thousand Cuts,2,0.0011655011655011655,0.7853932584269663,349.5,card
Redo,2,0.0011655011655011655,0.7853932584269663,349.5,card
Sunder,2,0.0011655011655011655,0.7853932584269663,349.5,card
Defragment,2,0.0011655011655011655,0.7853932584269663,349.5,card
Survivor,2,0.0011655011655011655,0.7853932584269663,349.5,card
Coolheaded,2,0.0011655011655011655,0.7853932584269663,349.5,card
Choke,2,0.0011655011655011655,0.7853932584269663,349.5,card
Tempest,2,0.0011655011655011655,0.7853932584269663,349.5,card
Lockon,2,0.0011655011655011655,0.7853932584269663,349.5,card
Sweeping Beam,2,0.0011655011655011655,0.7853932584269663,349.5,card
Crippling Poison,2,0.0011655011655011655,0.7853932584269663,349.5,card
Skewer,2,0.0011655011655011655,0.7853932584269663,349.5,card
Storm,2,0.0011655011655011655,0.7853932584269663,349.5,card
Doppelganger,2,0.0011655011655011655,0.7853932584269663,349.5,card
Symbiotic Virus,2,0.0011655011655011655,0.7853932584269663,349.5,relic
Capacitor,2,0.0011655011655011655,0.7853932584269663,349.5,card
Caltrops,2,0.0011655011655011655,0.7853932584269663,349.5,card
Die Die Die,2,0.0011655011655011655,0.7853932584269663,349.5,card
Bullet Time,2,0.0011655011655011655,0.7853932584269663,349.5,card
Buffer,2,0.0011655011655011655,0.7853932584269663,349.5,card
Darkness,2,0.0011655011655011655,0.7853932584269663,349.5,card
BootSequence,2,0.0011655011655011655,0.7853932584269663,349.5,card
Cables,2,0.0011655011655011655,0.7853932584269663,349.5,relic
Phantasmal Killer,2,0.0011655011655011655,0.7853932584269663,349.5,card
Auto Shields,2,0.0011655011655011655,0.7853932584269663,349.5,card
Nuclear Battery,2,0.0011655011655011655,0.7853932584269663,349.5,relic
Leap,2,0.0011655011655011655,0.7853932584269663,349.5,card
Heatsinks,2,0.0011655011655011655,0.7853932584269663,349.5,card
Hyperbeam,2,0.0011655011655011655,0.7853932584269663,349.5,card
Undo,2,0.0011655011655011655,0.7853932584269663,349.5,card
Go for the Eyes,2,0.0011655011655011655,0.7853932584269663,349.5,card
Electrodynamics,2,0.0011655011655011655,0.7853932584269663,349.5,card
Flechettes,2,0.0011655011655011655,0.7853932584269663,349.5,card
Hello World,2,0.0011655011655011655,0.7853932584269663,349.5,card
Amplify,2,0.0011655011655011655,0.7853932584269663,349.5,card
Aggregate,2,0.0011655011655011655,0.7853932584269663,349.5,card
Glass Knife,2,0.0011655011655011655,0.7853932584269663,349.5,card
Leg Sweep,2,0.0011655011655011655,0.7853932584269663,349.5,card
Underhanded Strike,2,0.0011655011655011655,0.7853932584269663,349.5,card
Catalyst,1,0.0005827505827505828,0.9157303370786517,407.5,card
TimeTraveler,1,0.0005827505827505828,0.9157303370786517,407.5,relic
Prudence,1,0.0005827505827505828,0.9157303370786517,407.5,relic
Chaos,1,0.0005827505827505828,0.9157303370786517,407.5,card
Consume,1,0.0005827505827505828,0.9157303370786517,407.5,card
OneHitWonder,1,0.0005827505827505828,0.9157303370786517,407.5,relic
Storm of Steel,1,0.0005827505827505828,0.9157303370786517,407.5,card
Dodge and Roll,1,0.0005827505827505828,0.9157303370786517,407.5,card
Zap,1,0.0005827505827505828,0.9157303370786517,407.5,card
Steam,1,0.0005827505827505828,0.9157303370786517,407.5,card
Doom and Gloom,1,0.0005827505827505828,0.9157303370786517,407.5,card
Neutralize,1,0.0005827505827505828,0.9157303370786517,407.5,card
DataDisk,1,0.0005827505827505828,0.9157303370786517,407.5,relic
Steam Power,1,0.0005827505827505828,0.9157303370786517,407.5,card
Blasphemy,1,0.0005827505827505828,0.9157303370786517,407.5,card
Multi-Cast,1,0.0005827505827505828,0.9157303370786517,407.5,card
Reboot,1,0.0005827505827505828,0.9157303370786517,407.5,card
Envenom,1,0.0005827505827505828,0.9157303370786517,407.5,card
Static Discharge,1,0.0005827505827505828,0.9157303370786517,407.5,card
Eviscerate,1,0.0005827505827505828,0.9157303370786517,407.5,card
Rainbow,1,0.0005827505827505828,0.9157303370786517,407.5,card
Deadly Poison,1,0.0005827505827505828,0.9157303370786517,407.5,card
Heel Hook,1,0.0005827505827505828,0.9157303370786517,407.5,card
Dagger Spray,1,0.0005827505827505828,0.9157303370786517,407.5,card
Predator,1,0.0005827505827505828,0.9157303370786517,407.5,card
Poisoned Stab,1,0.0005827505827505828,0.9157303370786517,407.5,card
Emotion Chip,1,0.0005827505827505828,0.9157303370786517,407.5,relic
Mirror,1,0.0005827505827505828,0.9157303370786517,407.5,relic
Shiv,1,0.0005827505827505828,0.9157303370786517,407.5,card
Finisher,1,0.0005827505827505828,0.9157303370786517,407.5,card
Bouncing Flask,1,0.0005827505827505828,0.9157303370786517,407.5,card
Fission,1,0.0005827505827505828,0.9157303370786517,407.5,card
Slice,1,0.0005827505827505828,0.9157303370786517,407.5,card
Flying Knee,1,0.0005827505827505828,0.9157303370786517,407.5,card
Expertise,1,0.0005827505827505828,0.9157303370786517,407.5,card
Setup,1,0.0005827505827505828,0.9157303370786517,407.5,card
Quick Slash,1,0.0005827505827505828,0.9157303370786517,407.5,card
Trick,1,0.0005827505827505828,0.9157303370786517,407.5,card
Core Surge,1,0.0005827505827505828,0.9157303370786517,407.5,card
Blizzard,1,0.0005827505827505828,0.9157303370786517,407.5,card
Halloween,1,0.0005827505827505828,0.9157303370786517,407.5,relic
Dagger Throw,1,0.0005827505827505828,0.9157303370786517,407.5,card
All For One,1,0.0005827505827505828,0.9157303370786517,407.5,card
CrystalShield,1,0.0005827505827505828,0.9157303370786517,407.5,relic
Barrage,1,0.0005827505827505828,0.9157303370786517,407.5,card
Bane,1,0.0005827505827505828,0.9157303370786517,407.5,card
Tactician,1,0.0005827505827505828,0.9157303370786517,407.5,card
Rebound,1,0.0005827505827505828,0.9157303370786517,407.5,card
Machine Learning,1,0.0005827505827505828,0.9157303370786517,407.5,card
