Resource,Frequency,Percent of Wins,Percentile Rank,Rank
Concentrate,320,0.176697956929873,0.1347517730496454,38.0
Dagger Throw,275,0.1518498067366096,0.13829787234042554,39.0
Infinite Blades,271,0.1496410822749862,0.14184397163120568,40.0
Predator,245,0.13528437327443402,0.1453900709219858,41.0
Expertise,231,0.12755383765875208,0.14893617021276595,42.0
Blade Dance,227,0.12534511319712865,0.1524822695035461,43.0
Die Die Die,219,0.12092766427388184,0.15602836879432624,44.0
Flechettes,210,0.11595803423522916,0.1595744680851064,45.0
Skewer,205,0.11319712865819989,0.16312056737588654,46.0
Ghostly,198,0.10933186085035891,0.16666666666666666,47.0
Tools of the Trade,196,0.10822749861954721,0.1702127659574468,48.0
Venomology,187,0.10325786858089453,0.17553191489361702,49.5
Quick Slash,187,0.10325786858089453,0.17553191489361702,49.5
Envenom,181,0.09994478188845941,0.18085106382978725,51.0
Bullet Time,179,0.09884041965764771,0.18439716312056736,52.0
A Thousand Cuts,177,0.097736057426836,0.1879432624113475,53.0
Flying Knee,165,0.09110988404196577,0.19148936170212766,54.0
Endless Agony,162,0.0894533406957482,0.1950354609929078,55.0
Sucker Punch,159,0.08779679734953065,0.19858156028368795,56.0
Doppelganger,149,0.08227498619547212,0.20212765957446807,57.0
Glass Knife,147,0.0811706239646604,0.20567375886524822,58.0
Heel Hook,146,0.08061844284925455,0.20921985815602837,59.0
Apotheosis,139,0.07675317504141359,0.2127659574468085,60.0
Outmaneuver,134,0.07399226946438432,0.21631205673758866,61.0
Purity,132,0.07288790723357261,0.2198581560283688,62.0
Finisher,130,0.0717835450027609,0.22340425531914893,63.0
Bane,119,0.06570955273329653,0.22695035460992907,64.0
Finesse,111,0.061292103810049695,0.2322695035460993,65.5
All Out Attack,111,0.061292103810049695,0.2322695035460993,65.5
Impatience,108,0.05963556046383214,0.2375886524822695,67.0
Dark Shackles,103,0.05687465488680287,0.24113475177304963,68.0
Accuracy,99,0.054665930425179456,0.24468085106382978,69.0
Choke,95,0.05245720596355605,0.24822695035460993,70.0
Masterful Stab,92,0.05080066261733849,0.25177304964539005,71.0
Master of Strategy,88,0.048591938155715074,0.2553191489361702,72.0
Underhanded Strike,85,0.046935394809497516,0.25886524822695034,73.0
Riddle With Holes,77,0.04251794588625069,0.2624113475177305,74.0
Distraction,76,0.041965764770844835,0.26595744680851063,75.0
Eviscerate,73,0.04030922142462728,0.2695035460992908,76.0
Slice,72,0.03975704030922143,0.274822695035461,77.5
Deep Breath,72,0.03975704030922143,0.274822695035461,77.5
Madness,69,0.03810049696300387,0.2801418439716312,79.0
Storm of Steel,68,0.03754831584759801,0.28368794326241137,80.0
Bite,65,0.03589177250138045,0.2872340425531915,81.0
Panacea,62,0.034235229155162895,0.2907801418439716,82.0
Flash of Steel,52,0.02871341800110436,0.29609929078014185,83.5
Setup,52,0.02871341800110436,0.29609929078014185,83.5
Parasite,48,0.02650469353948095,0.30141843971631205,85.0
Phantasmal Killer,45,0.02484815019326339,0.3049645390070922,86.0
Writhe,40,0.022087244616234125,0.30851063829787234,87.0
Secret Technique,39,0.02153506350082827,0.3120567375886525,88.0
Discovery,38,0.020982882385422418,0.31560283687943264,89.0
Bandage Up,37,0.020430701270016567,0.3191489361702128,90.0
Thinking Ahead,36,0.019878520154610713,0.32269503546099293,91.0
Necronomicurse,35,0.01932633903920486,0.3262411347517731,92.0
RitualDagger,34,0.018774157923799006,0.32978723404255317,93.0
Unload,33,0.018221976808393152,0.3333333333333333,94.0
Clumsy,30,0.016565433462175594,0.33687943262411346,95.0
Decay,25,0.013804527885146328,0.3404255319148936,96.0
Panache,24,0.013252346769740474,0.34574468085106386,97.5
Injury,24,0.013252346769740474,0.34574468085106386,97.5
Shame,23,0.012700165654334622,0.3528368794326241,99.5
Trip,23,0.012700165654334622,0.3528368794326241,99.5
Blind,22,0.012147984538928768,0.35815602836879434,101.0
Good Instincts,18,0.009939260077305357,0.3617021276595745,102.0
Transmutation,17,0.009387078961899503,0.36524822695035464,103.0
HandOfGreed,16,0.00883489784649365,0.37056737588652483,104.5
PanicButton,16,0.00883489784649365,0.37056737588652483,104.5
Magnetism,14,0.007730535615681944,0.37943262411347517,107.0
Normality,14,0.007730535615681944,0.37943262411347517,107.0
Chrysalis,14,0.007730535615681944,0.37943262411347517,107.0
Dramatic Entrance,13,0.00717835450027609,0.3882978723404255,109.5
Doubt,13,0.00717835450027609,0.3882978723404255,109.5
True Grit,12,0.006626173384870237,0.3971631205673759,112.0
The Bomb,12,0.006626173384870237,0.3971631205673759,112.0
Regret,12,0.006626173384870237,0.3971631205673759,112.0
Echo Form,11,0.006073992269464384,0.40602836879432624,114.5
Pain,11,0.006073992269464384,0.40602836879432624,114.5
Havoc,10,0.005521811154058531,0.4166666666666667,117.5
Jack Of All Trades,10,0.005521811154058531,0.4166666666666667,117.5
Enlightenment,10,0.005521811154058531,0.4166666666666667,117.5
Evolve,10,0.005521811154058531,0.4166666666666667,117.5
Burning Pact,9,0.004969630038652678,0.42730496453900707,120.5
Sadistic Nature,9,0.004969630038652678,0.42730496453900707,120.5
Turbo,8,0.004417448923246825,0.43439716312056736,122.5
Mayhem,8,0.004417448923246825,0.43439716312056736,122.5
Shrug It Off,7,0.003865267807840972,0.45567375886524825,128.5
Seek,7,0.003865267807840972,0.45567375886524825,128.5
Double Energy,7,0.003865267807840972,0.45567375886524825,128.5
Disarm,7,0.003865267807840972,0.45567375886524825,128.5
Hologram,7,0.003865267807840972,0.45567375886524825,128.5
Violence,7,0.003865267807840972,0.45567375886524825,128.5
Coolheaded,7,0.003865267807840972,0.45567375886524825,128.5
J.A.X.,7,0.003865267807840972,0.45567375886524825,128.5
Forethought,7,0.003865267807840972,0.45567375886524825,128.5
Secret Weapon,7,0.003865267807840972,0.45567375886524825,128.5
Spot Weakness,6,0.0033130866924351186,0.48936170212765956,138.0
Demon Form,6,0.0033130866924351186,0.48936170212765956,138.0
Pommel Strike,6,0.0033130866924351186,0.48936170212765956,138.0
Body Slam,6,0.0033130866924351186,0.48936170212765956,138.0
White Noise,6,0.0033130866924351186,0.48936170212765956,138.0
Swift Strike,6,0.0033130866924351186,0.48936170212765956,138.0
Core Surge,6,0.0033130866924351186,0.48936170212765956,138.0
All For One,6,0.0033130866924351186,0.48936170212765956,138.0
FTL,6,0.0033130866924351186,0.48936170212765956,138.0
Limit Break,5,0.0027609055770292656,0.5319148936170213,150.0
Rage,5,0.0027609055770292656,0.5319148936170213,150.0
Steam,5,0.0027609055770292656,0.5319148936170213,150.0
Feel No Pain,5,0.0027609055770292656,0.5319148936170213,150.0
Chill,5,0.0027609055770292656,0.5319148936170213,150.0
Buffer,5,0.0027609055770292656,0.5319148936170213,150.0
Skim,5,0.0027609055770292656,0.5319148936170213,150.0
Meteor Strike,5,0.0027609055770292656,0.5319148936170213,150.0
Reprogram,5,0.0027609055770292656,0.5319148936170213,150.0
CurseOfTheBell,5,0.0027609055770292656,0.5319148936170213,150.0
Gash,5,0.0027609055770292656,0.5319148936170213,150.0
Second Wind,5,0.0027609055770292656,0.5319148936170213,150.0
Juggernaut,5,0.0027609055770292656,0.5319148936170213,150.0
Tempest,5,0.0027609055770292656,0.5319148936170213,150.0
Amplify,5,0.0027609055770292656,0.5319148936170213,150.0
BootSequence,4,0.0022087244616234127,0.5904255319148937,166.5
Creative AI,4,0.0022087244616234127,0.5904255319148937,166.5
Warcry,4,0.0022087244616234127,0.5904255319148937,166.5
Intimidate,4,0.0022087244616234127,0.5904255319148937,166.5
Impervious,4,0.0022087244616234127,0.5904255319148937,166.5
Inflame,4,0.0022087244616234127,0.5904255319148937,166.5
Leap,4,0.0022087244616234127,0.5904255319148937,166.5
Seeing Red,4,0.0022087244616234127,0.5904255319148937,166.5
Ball Lightning,4,0.0022087244616234127,0.5904255319148937,166.5
Corruption,4,0.0022087244616234127,0.5904255319148937,166.5
Self Repair,4,0.0022087244616234127,0.5904255319148937,166.5
Reinforced Body,4,0.0022087244616234127,0.5904255319148937,166.5
Armaments,4,0.0022087244616234127,0.5904255319148937,166.5
Recycle,4,0.0022087244616234127,0.5904255319148937,166.5
Dual Wield,4,0.0022087244616234127,0.5904255319148937,166.5
Feed,4,0.0022087244616234127,0.5904255319148937,166.5
Barricade,4,0.0022087244616234127,0.5904255319148937,166.5
Heatsinks,4,0.0022087244616234127,0.5904255319148937,166.5
Clothesline,3,0.0016565433462175593,0.6613475177304965,186.5
Offering,3,0.0016565433462175593,0.6613475177304965,186.5
Mind Blast,3,0.0016565433462175593,0.6613475177304965,186.5
Sunder,3,0.0016565433462175593,0.6613475177304965,186.5
Stack,3,0.0016565433462175593,0.6613475177304965,186.5
Machine Learning,3,0.0016565433462175593,0.6613475177304965,186.5
Chaos,3,0.0016565433462175593,0.6613475177304965,186.5
Flex,3,0.0016565433462175593,0.6613475177304965,186.5
Double Tap,3,0.0016565433462175593,0.6613475177304965,186.5
Heavy Blade,3,0.0016565433462175593,0.6613475177304965,186.5
Fission,3,0.0016565433462175593,0.6613475177304965,186.5
Fiend Fire,3,0.0016565433462175593,0.6613475177304965,186.5
Fusion,3,0.0016565433462175593,0.6613475177304965,186.5
Ghostly Armor,3,0.0016565433462175593,0.6613475177304965,186.5
Reaper,3,0.0016565433462175593,0.6613475177304965,186.5
Rainbow,3,0.0016565433462175593,0.6613475177304965,186.5
Shockwave,3,0.0016565433462175593,0.6613475177304965,186.5
Sword Boomerang,3,0.0016565433462175593,0.6613475177304965,186.5
Steam Power,3,0.0016565433462175593,0.6613475177304965,186.5
Immolate,3,0.0016565433462175593,0.6613475177304965,186.5
Infernal Blade,3,0.0016565433462175593,0.6613475177304965,186.5
Undo,3,0.0016565433462175593,0.6613475177304965,186.5
Metallicize,2,0.0011043622308117063,0.7624113475177305,215.0
Flame Barrier,2,0.0011043622308117063,0.7624113475177305,215.0
Anger,2,0.0011043622308117063,0.7624113475177305,215.0
Whirlwind,2,0.0011043622308117063,0.7624113475177305,215.0
Wild Strike,2,0.0011043622308117063,0.7624113475177305,215.0
Aggregate,2,0.0011043622308117063,0.7624113475177305,215.0
Scrape,2,0.0011043622308117063,0.7624113475177305,215.0
Metamorphosis,2,0.0011043622308117063,0.7624113475177305,215.0
Biased Cognition,2,0.0011043622308117063,0.7624113475177305,215.0
Reboot,2,0.0011043622308117063,0.7624113475177305,215.0
Shiv,2,0.0011043622308117063,0.7624113475177305,215.0
Auto Shields,2,0.0011043622308117063,0.7624113475177305,215.0
Perfected Strike,2,0.0011043622308117063,0.7624113475177305,215.0
Cold Snap,2,0.0011043622308117063,0.7624113475177305,215.0
Carnage,2,0.0011043622308117063,0.7624113475177305,215.0
Pummel,2,0.0011043622308117063,0.7624113475177305,215.0
Sneak Up,2,0.0011043622308117063,0.7624113475177305,215.0
Power Through,2,0.0011043622308117063,0.7624113475177305,215.0
Beam Cell,2,0.0011043622308117063,0.7624113475177305,215.0
Berserk,2,0.0011043622308117063,0.7624113475177305,215.0
Redo,2,0.0011043622308117063,0.7624113475177305,215.0
Conserve Battery,2,0.0011043622308117063,0.7624113475177305,215.0
Dark Embrace,2,0.0011043622308117063,0.7624113475177305,215.0
Uppercut,2,0.0011043622308117063,0.7624113475177305,215.0
Hyperbeam,2,0.0011043622308117063,0.7624113475177305,215.0
Hemokinesis,2,0.0011043622308117063,0.7624113475177305,215.0
Hello World,2,0.0011043622308117063,0.7624113475177305,215.0
Headbutt,2,0.0011043622308117063,0.7624113475177305,215.0
Glacier,2,0.0011043622308117063,0.7624113475177305,215.0
Genetic Algorithm,2,0.0011043622308117063,0.7624113475177305,215.0
Exhume,2,0.0011043622308117063,0.7624113475177305,215.0
Thunderclap,2,0.0011043622308117063,0.7624113475177305,215.0
Fire Breathing,2,0.0011043622308117063,0.7624113475177305,215.0
Darkness,2,0.0011043622308117063,0.7624113475177305,215.0
Force Field,2,0.0011043622308117063,0.7624113475177305,215.0
PulseDistributor,1,0.0005521811154058532,0.9131205673758865,257.5
Atom Bomb,1,0.0005521811154058532,0.9131205673758865,257.5
Rampage,1,0.0005521811154058532,0.9131205673758865,257.5
Dualcast,1,0.0005521811154058532,0.9131205673758865,257.5
Barrage,1,0.0005521811154058532,0.9131205673758865,257.5
Twin Strike,1,0.0005521811154058532,0.9131205673758865,257.5
Bash,1,0.0005521811154058532,0.9131205673758865,257.5
Rebound,1,0.0005521811154058532,0.9131205673758865,257.5
Consume,1,0.0005521811154058532,0.9131205673758865,257.5
Prostrate,1,0.0005521811154058532,0.9131205673758865,257.5
Battle Trance,1,0.0005521811154058532,0.9131205673758865,257.5
Compile Driver,1,0.0005521811154058532,0.9131205673758865,257.5
Dropkick,1,0.0005521811154058532,0.9131205673758865,257.5
Hidden Blade,1,0.0005521811154058532,0.9131205673758865,257.5
Melter,1,0.0005521811154058532,0.9131205673758865,257.5
Electrodynamics,1,0.0005521811154058532,0.9131205673758865,257.5
Reckless Charge,1,0.0005521811154058532,0.9131205673758865,257.5
Poisoned Strike,1,0.0005521811154058532,0.9131205673758865,257.5
Zap,1,0.0005521811154058532,0.9131205673758865,257.5
Searing Blow,1,0.0005521811154058532,0.9131205673758865,257.5
Static Discharge,1,0.0005521811154058532,0.9131205673758865,257.5
Thunder Strike,1,0.0005521811154058532,0.9131205673758865,257.5
Loop,1,0.0005521811154058532,0.9131205673758865,257.5
Rupture,1,0.0005521811154058532,0.9131205673758865,257.5
Rip and Tear,1,0.0005521811154058532,0.9131205673758865,257.5
Sentinel,1,0.0005521811154058532,0.9131205673758865,257.5
Sever Soul,1,0.0005521811154058532,0.9131205673758865,257.5
Entrench,1,0.0005521811154058532,0.9131205673758865,257.5
Lockon,1,0.0005521811154058532,0.9131205673758865,257.5
Go for the Eyes,1,0.0005521811154058532,0.9131205673758865,257.5
Toxin Wave,1,0.0005521811154058532,0.9131205673758865,257.5
Reflect,1,0.0005521811154058532,0.9131205673758865,257.5
Sweeping Beam,1,0.0005521811154058532,0.9131205673758865,257.5
Poison Darts,1,0.0005521811154058532,0.9131205673758865,257.5
Multi-Cast,1,0.0005521811154058532,0.9131205673758865,257.5
Iron Wave,1,0.0005521811154058532,0.9131205673758865,257.5
Doom and Gloom,1,0.0005521811154058532,0.9131205673758865,257.5
Capacitor,1,0.0005521811154058532,0.9131205673758865,257.5
Streamline,1,0.0005521811154058532,0.9131205673758865,257.5
Defragment,1,0.0005521811154058532,0.9131205673758865,257.5
Cleave,1,0.0005521811154058532,0.9131205673758865,257.5
Clash,1,0.0005521811154058532,0.9131205673758865,257.5
Brutality,1,0.0005521811154058532,0.9131205673758865,257.5
Crow Ritual,1,0.0005521811154058532,0.9131205673758865,257.5
Blizzard,1,0.0005521811154058532,0.9131205673758865,257.5
Bloodletting,1,0.0005521811154058532,0.9131205673758865,257.5
Blood for Blood,1,0.0005521811154058532,0.9131205673758865,257.5
Combust,1,0.0005521811154058532,0.9131205673758865,257.5
Storm,1,0.0005521811154058532,0.9131205673758865,257.5
Bludgeon,1,0.0005521811154058532,0.9131205673758865,257.5
